Core;Lat.;Long.;Depth (m);Modern SSST (°C);E-LGM SSST (°C);Delta LGM/ mod. SSST (°C);Modern SI pres. (m/yr);E-LGM SI pres. (m/yr);Delta LGM/ mod. SI (m/yr);Modern Feb. SI conc. (%);E-LGM Feb. SI conc. (%);Delta LGM/ mod. Feb. SI conc. (%);Modern Sept. SI conc. (%);E-LGM Sept. SI conc. (%);Delta LGM/ mod. Sept. SI conc. (%);E-LGM SI ind. F.c + F.c (%);E-LGM SI ind F.o. (%);E-LGM SI pres.;Estimation method;E-LGM CQL;EQL;AQL;Ref.
MD84-551;−55;73.26;1504;2.49;0.9;−1.6;0;4.3;4.3;0;0.4;0.4;0;49.6;49.6;2.2;1;1;MAT;1;1;1;1
MD84-552;−54.91;73.84;1780;2.42;1.1;−1.3;0;1.9;1.9;0;0;0;0;34.8;34.8;0.9;0;1;MAT;1;1;1;1
MD88-769;−46.06;90.09;3420;9.11;7.2;−1.9;0;0;0;0;0;0;0;0;0;0;0;0;MAT;1;2;1;1
MD88-770;−46.02;96.43;3290;8.63;5.7;−3.0;0;0;0;0;0;0;0;0;0;0;0;0;MAT;2;1;1;1
MD88-773;−52.9;109.85;2460;4.47;2.3;−2.2;0;1.37;1.37;0;0;0;0;23.72;23.72;0;0.6;1;MAT;2;2;1;1
MD88-784;−54.19;144.79;2800;5.6;3.5;−2.1;0;1.8/1.2;1.8/1.2;0;0.1;0.1;0;13.4;13.4;2.2;0;1;MAT/GAM;2;1;1;2
MD88-787;−56.38;145.3;3020;3.75;2.33;−1.4;0;0.8/4.3;0.8/4.3;0;0.2;0.2;0;19;19;2.5;0.6;1;MAT/GAM;2;1;1;2
PS1433-1;−47.54;15.36;4810;6.18;2.7;−3.5;0;;;0;;;0;;;1.23;0;1;IKM/SI-Ind.;2;2;1;3
PS1444-1;−55.37;9.98;4862;0.51;0.1;−0.4;;;;;;;;;;4.11;0.69;1;IKM/SI-Ind.;2;1;1;3
PS1649-2;−54.91;3.31;2427;−0.04;−0.1;−0.1;1;;;0;;;22;;;7.68;1.29;1;IKM/SI-Ind.;2;3;2;3
PS1651-1;−53.63;3.86;2075;0.44;0;−0.4;0;;;0;;;3;;;8.4;2.4;1;IKM/SI-Ind.;2;2;1;3
PS1652-2;−53.66;5.1;1963;0.24;−0.5;−0.8;0;;;0;;;3;;;18.29;1.1;1;IKM/SI-Ind.;2;2;1;3
PS1654-2;−50.16;5.72;3744;4.56;1.4;−3.1;0;;;0;;;0;;;2.1;0.3;1;IKM/SI-Ind.;1;2;1;3
PS1756-5;−48.90;6.71;3828;5.03;1.6;−3.4;0;;;0;;;0;;;1.84;0.2;1;IKM/SI-Ind.;2;2;1;3
PS1765-3;−51.83;4.81;3760;2.93;0.8;−2.1;0;;;0;;;0;;;4.68;0.42;1;IKM/SI-Ind.;2;2;1;3
PS1768-8;−52.59;4.48;3299;1.47;0.5;−0.9;0;;;0;;;0;;;7.85;0.6;1;IKM/SI-Ind.;1;2;1;3
PS1775-4;−50.95;−7.51;2507;2.03;0.4;−1.7;0;;;0;;;0;;;8.24;0.4;1;IKM/SI-Ind.;2;2;1;3
PS1777-6;−48.23;−11.04;2577;4.92;2;−3.0;0;;;0;;;0;;;1.56;0.1;1;IKM/SI-Ind.;2;2;1;3
PS1778-5;−49.01;−12.70;3407;4.81;1.7;−3.1;0;;;0;;;0;;;1.29;0.1;1;IKM/SI-Ind.;2;2;1;3
PS1779-2;−50.40;−14.08;3570;3.97;1.2;−2.7;0;;;0;;;0;;;2.45;0.1;1;IKM/SI-Ind.;2;2;1;3
PS1780-5;−51.70;−15.30;4280;2.86;1.1;−1.7;0;;;0;;;0;;;3.71;0;1;IKM/SI-Ind.;2;2;1;3
PS1782-5;−55.19;−18.61;5160;1.16;1.4;0.2;0;;;0;;;0;;;3.65;0;1;IKM/SI-Ind.;3;2;2;3
PS1783-5;−54.91;−22.71;3394;0.85;0.4;−0.4;0;;;0;;;0;;;6.24;0.4;1;IKM/SI-Ind.;2;2;1;3
PS2082-1;−43.22;11.74;4610;11.35;4.8;−6.6;0;;;0;;;0;;;0.34;0.1;0;IKM/SI-Ind.;2;2;1;3
PS2089-1;−53.19;5.33;2615;1.36;0.2;−1.2;;;;;;;;;;10.18;0.25;1;IKM/SI-Ind.;2;2;1;3
PS2090-1;−53.18;5.13;2819;1.36;0.4;−0.9;;;;;;;;;;5.76;0.8;1;IKM/SI-Ind.;1;2;1;3
PS2102-2;−53.07;−4.99;2390;0.55;0;−0.5;0;;;0;;;0;;;12;0.4;1;IKM/SI-Ind.;1;2;1;3
PS2250-5;−45.10;−57.95;3181;12.1;3;−9.1;;;;;;;;;;0.22;0;0;IKM/SI-Ind.;2;2;1;3
PS2276-4;−54.64;−23.95;4383;0.89;0.5;−0.4;;;;;;;;;;3.36;0;1;IKM/SI-Ind.;2;2;1;3
PS2278-3;−55.97;−22.22;4418;0.66;0.6;0;;;;;;;;;;2.76;0.1;1;IKM/SI-Ind.;2;2;1;3
PS2280-4;−56.84;−22.32;4750;0.22;0.8;0.6;;;;;;;;;;2.65;0.1;1;IKM/SI-Ind.;2;3;2;3
PS2305-6;−58.72;−33.04;3243;1.4;0.2;−1.2;;;;;;;;;;7.9;0.3;1;IKM/SI-Ind.;2;2;1;3
PS2307-1;−59.05;−35.61;2532;0.58;0;−0.6;;;;;;;;;;7;0;1;IKM/SI-Ind.;3;2;2;3
PS2319-1;−59.79;−42.68;4323;0.82;0.5;−0.3;;;;;;;;;;10.21;1.4;1;IKM/SI-Ind.;2;2;1;3
PS2491-3;−44.96;5.97;4324;9.32;3.2;−6.1;;;;;;;;;;0.76;0;0;IKM/SI-Ind.;3;3;2;3
PS2492-2;−43.17;−4.06;4207;11.42;4.1;−7.3;;;;;;;;;;0.3;0;0;IKM/SI-Ind.;2;3;2;3
PS2493-1;−42.88;−6.02;4153;11.42;4;−7.4;;;;;;;;;;0.41;0;0;IKM/SI-Ind.;2;3;2;3
PS2498-1;−44.15;−14.23;3783;11.11;4.5;−6.6;;;;;;;;;;0.28;0;0;IKM/SI-Ind.;1;3;2;3
PS2499-5;−46.51;−15.33;3175;5.54;2.7;−2.8;;;;;;;;;;0.67;0;0;IKM/SI-Ind.;1;2;1;3
PS2502-2;−50.25;−23.24;4461;4.37;1.2;−3.1;;;;;;;;;;3.16;0;1;IKM/SI-Ind.;2;2;1;3
PS2515-3;−53.55;−45.29;3467;4.35;0.8;−3.5;;;;;;;;;;7.16;0.2;1;IKM/SI-Ind.;2;2;1;3
PS2561-2;−41.86;28.54;4465;16.4;10.9;−5.5;;;;;;;;;;0.84;0;0;IKM/SI-Ind.;3;1;2;3
PS2563-2;−44.56;34.79;3514;9.38;4.1;−5.3;;;;;;;;;;0.28;0;0;IKM/SI-Ind.;3;2;2;3
PS2564-3;−46.14;35.9;3034;9.03;4.3;−4.7;;;;;;;;;;0.33;0;0;IKM/SI-Ind.;3;1;2;3
PS2567-2;−46.94;6.26;4102;6.9;3.9;−3.0;;;;;;;;;;0.48;0;0;IKM/SI-Ind.;2;2;1;3
PS2603-3;−58.99;37.63;5289;1.51;0.9;−0.6;;;;;;;;;;3.66;0.7;1;IKM/SI-Ind.;2;2;1;3
PS2606-6;−53.23;40.8;2545;3.09;0.3;−2.6;;;;;;;;;;3.64;0.5;1;IKM/SI-Ind.;1;3;2;3
PS2608-1;−51.88;41.65;2787;3.09;0.1;−3.0;;;;;;;;;;5;0.8;1;IKM/SI-Ind.;2;3;2;3
PS2610-3;−50.69;40.13;3593;3.74;0.6;−3.1;;;;;;;;;;5.09;0.24;1;IKM/SI-Ind.;2;2;1;3
PS58/271-1;−61.24;−116.05;5214;2.95;1.7;−1.3;;;;;;;;;;1.18;0;1;IKM/SI-Ind.;2;2;1;4
RC11-118;−37.8;71.53;4354;17.15;16.3;−0.9;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;2;2;1
RC11-77;−53.05;−16.45;4098;2.46;0.9;−1.6;0;4.1;4.1;0;0;0;0;52;52;0.3;1.3;1;MAT;4;2;2;1
RC11-78;−50.87;−9.87;3115;2.53;0.7;−1.8;0;4.6;4.6;0;0.8;0.8;0;61;61;0.6;3.7;1;MAT;2;2;1;1
RC11-91;−56.57;34.18;5373;2.19;1.8;−0.4;0;2.6;2.6;0;0;0;0;45;45;0.9;0;1;MAT;4;2;2;1
RC11-94;−54.48;53.05;4303;2.88;0.8;−2.1;0;3.5;3.5;0;0;0;0;58;58;1.3;0;1;MAT;2;2;1;1
RC11-96;−50.47;59.58;4839;4.71;1.5;−3.3;0;2.7;2.7;0;0;0;0;45.2;45.2;0.9;0;1;MAT;4;1;2;1
RC11-97;−50.32;61.2;4638;4.65;2.2;−2.4;0;1.45;1.45;0;0;0;0;27.7;27.7;0.3;0;1;MAT;4;2;2;1
RC12-289;−47.9;−23.7;4484;7.08;2.1;−4.9;0;1.9;1.9;0;0.2;0.2;0;21.2;21.2;0.3;0.3;1;MAT;4;2;2;1
RC12-294;−37.27;−10.1;3308;17.92;17.3;−0.6;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;3;2;1
RC13-251;−42.52;11.67;4341;11.92;10;−1.9;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;2;2;1
RC13-253;−46.6;7.63;2494;7.23;4.1;−3.2;0;0;0;0;0;0;0;2.8;2.8;0;0;0;MAT;4;1;2;1
RC13-256;−53.18;−0.35;2525;1.8;0.9;−0.9;0;3.8;3.8;0;0.2;0.2;0;44;44;1.3;1.9;1;MAT;4;2;2;1
RC13-259;−53.88;−4.93;2677;1.61;0.8;−0.8;0;3.8;3.8;0;0;0;0;48.4;48.4;1.3;2.7;1;MAT;2;1;1;1
RC13-263;−53.8;−8.22;3389;1.48;0.8;−0.7;0;4.6;4.6;0;0.2;0.2;0;55.8;55.8;1.9;6.8;1;MAT;3;2;2;1
RC13-269;−52.63;−0.13;2591;2.12;1.9;−0.2;0;2.65;2.65;0;0;0;0;36.5;36.5;2.1;0.5;1;MAT;2;2;2;1
RC13-271;−51.98;4.52;3634;2.97;2.3;−0.6;0;0.9;0.9;0;0;0;0;15.8;15.8;0;0.9;1;MAT;2;2;1;1
RC14-11;−38;51.18;3268;19.01;14;−5.0;0;0;0;0;0;0;0;0;0;0;0;0;MAT;3;2;2;1
RC14-12;−38.75;59.3;5271;17.79;13.6;−4.2;0;0;0;0;0;0;0;0;0;0;0;0;MAT;3;1;2;1
RC17-61;−52.2;54.47;3947;4.06;1.9;−2.2;0;0.8;0.8;0;0;0;0;16.8;16.8;0.3;0.3;1;MAT;4;1;2;1
RC8-39;−42.88;42.35;4330;12.11;9.7;−2.5;0;0;0;0;0;0;0;0;0;0;0;0;MAT;2;2;1;1
RC8-46;−55.33;65.47;2761;3.07;0.9;−2.2;0;2.6;2.6;0;0;0;0;47;47;0.6;0;1;MAT;4;2;2;1
RC9-139;−47.77;123.1;4158;9.91;4.8;−5.2;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;1;2;1
SO136-111;−56.67;160.23;3912;5.54;2.2;−3.3;0;0.9;0.9;0;0;0;0;22.3;22.3;0.4;0.6;1;MAT;1;1;1;1
TN057-13-PC4;−53.17;5.11;2848;2.18;1.2;−1.0;0;3.93;3.93;0;0.4;0.4;0;48.23;48.23;2.1;2.3;1;MAT;1;1;1;1
V14-57;−57.57;−17.1;4978;1.02;0.9;−0.1;1.5;2.8;1.3;0;0;0;37;45.4;8.4;1.2;0;1;MAT;4;2;2;1
V29-84;−43.85;27.6;5451;11.57;7.7;−3.9;0;0;0;0;0;0;0;0;0;0;0;0;MAT;3;2;2;1
V29-86;−49.57;30.02;5614;4.67;4.2;−0.5;0;1.1;1.1;0;0;0;0;20;20;0.9;0;1;MAT;3;2;2;1
V29-87;−49.1;27.38;5314;4.82;3;−1.8;0;1.1;1.1;0;0;0;0;20;20;0;0.3;1;MAT;3;1;2;1
V29-89;−45.73;25.65;5945;8.1;6.9;−1.2;0;0;0;0;0;0;0;0;0;0;0;0;MAT;3;1;2;1
V29-90;−43.7;25.73;5148;11.84;10.1;−1.8;0;0;0;0;0;0;0;0;0;0;0;0;MAT;4;2;2;1
